"Symbol";"Value";"Unit";
"REFERENCE";"MR74ZZ";"";
"TraceParts.PartVersion";"1.3.3";"";
"SUPPLIER";"NSK";"";
"MASS";"0.29";"g";
"TraceParts.PartStatusId";"";"";
"RADIAL_LOAD3";"26";"";
"TraceParts.PartLanguage";"en";"";
"DESIGN";"Single row ball bearings - Miniature - Shielded - MR74ZZ";"";
"TraceParts.InstanceId";"10-12082013-0955047VDEQW0HCPM3GFAU9ZG1C36W4";"";
"RADIAL_LOAD2";"107";"N";
"TRACEPARTS";"TRACEPARTS";"";
"TraceParts.PartTitle";"Single row ball bearings - Miniature - Shielded (ZZ)";"";
"RADIAL_LOAD4";"11";"";
"INNER_DIAMETER";"4";"mm";
"TraceParts.PartNumber";"10-12082013-095504";"";
"ROTARY_SPEED_GREASED";"60000";"rpm";
"OUTER_DIAMETER";"7";"mm";
"RADIAL_LOAD";"255";"N";
"TraceParts.PartStatus";"Published";"";
"TraceParts.ClassPath";"NSK:10-12082013-095504";"";
